au_id,ARTICLES,DURATION,ARTIPERYEAR,DEGREE-I,DEGREE-O,CLOSS-I,CLOSS-O,BETT,HITS-HUB,HITS-AUT,SH-EFF,SH-ES,SH-CONSTR,SH-HIERARCHY
1637,6,20,0.3,0.005,0.002,0.009,0.002,0,0.016,0,1,4,0.25,0
1638,4,3,1.333,0.002,0.002,0.002,0.007,0,0,0,1,2,0.5,0
1639,4,11,0.364,0.003,0.029,0.004,0.053,0.001,0.001,0.063,0.982,17.684,0.074,0.053
1649,2,1,2,0,0.002,0,0.052,0,0,0,1,1,1,1
1653,4,6,0.667,0.005,0.012,0.009,0.078,0.002,0.006,0.032,0.926,9.262,0.172,0.179
1654,4,2,2,0.003,0,0.003,0,0,0,0,1,2,0.5,0
1655,4,4,1,0.002,0.003,0.022,0.012,0,0,0.004,1,2,0.556,0.278
1658,4,2,2,0.005,0,0.023,0,0,0.015,0,0.833,2.5,0.432,0.031
1660,6,5,1.2,0.003,0.002,0.03,0.002,0,0.024,0,0.767,2.3,0.57,0.592
1665,2,1,2,0,0.002,0,0.012,0,0,0.012,1,1,1,1
1667,2,1,2,0,0.002,0,0.052,0,0,0,1,1,1,1
1669,2,1,2,0,0.002,0,0.003,0,0,0,1,1,1,1
1674,2,1,2,0.002,0,0.031,0,0,0.001,0,1,1,1,1
1677,4,8,0.5,0.002,0.002,0.019,0.013,0,0.004,0.004,0.611,1.222,0.628,0.255
1681,4,3,1.333,0.002,0,0.002,0,0,0,0,1,1,1,1
1683,4,2,2,0.002,0.002,0.002,0.002,0,0,0,1,2,0.5,0
1684,4,14,0.286,0.002,0.003,0.018,0.003,0.001,0,0,1,3,0.333,0
1686,4,11,0.364,0.002,0.019,0.017,0.071,0.004,0.01,0.096,0.968,10.645,0.163,0.335
1687,4,3,1.333,0.003,0.003,0.004,0.017,0,0,0.001,1,3,0.44,0.454
1689,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
1690,2,1,2,0,0.002,0,0.058,0,0,0.148,1,1,1,1
1692,2,1,2,0.002,0,0.035,0,0,0,0,1,1,1,1
1694,2,1,2,0.002,0,0.002,0,0,0.046,0,1,1,1,1
1696,6,20,0.3,0.008,0.012,0.037,0.027,0.008,0.02,0.005,0.973,9.728,0.161,0.305
1697,2,5,0.4,0.003,0,0.003,0,0,0,0,0.5,1,0.804,0.008
1698,2,1,2,0,0.002,0,0.002,0,0,0.004,1,1,1,1
1699,8,7,1.143,0.007,0.002,0.024,0.004,0.001,0.003,0,0.92,4.6,0.256,0.023
1700,2,1,2,0.002,0,0.025,0,0,0,0,1,1,1,1
1710,2,1,2,0.002,0,0.002,0,0,0.008,0,1,1,1,1
1715,2,3,0.667,0.003,0,0.03,0,0,0,0,1,2,0.5,0
1716,6,10,0.6,0.005,0.003,0.026,0.003,0.001,0.119,0.004,0.843,4.217,0.348,0.267
1718,4,8,0.5,0.003,0.002,0.047,0.002,0,0,0,1,2,0.556,0.278
1719,6,4,1.5,0.003,0.002,0.005,0.022,0,0.005,0,1,2,0.556,0.278
1720,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
1721,8,5,1.6,0.008,0.005,0.01,0.088,0.004,0.089,0.003,0.886,6.204,0.235,0.072
1727,6,4,1.5,0.002,0.002,0.023,0.055,0,0.091,0.031,1,1,1,1
1728,6,12,0.5,0.008,0.012,0.033,0.023,0.007,0.178,0.007,0.917,10.089,0.172,0.207
1731,2,1,2,0.002,0,0.005,0,0,0,0,1,1,1,1
1732,4,6,0.667,0.002,0.002,0.029,0.016,0,0.001,0,0.5,1,0.879,0.019
1733,4,6,0.667,0.002,0.003,0.029,0.016,0,0.001,0,0.778,2.333,0.502,0.037
1735,4,4,1,0.007,0.003,0.029,0.019,0.001,0.002,0.04,0.81,4.048,0.401,0.435
2000,4,6,0.667,0.007,0,0.007,0,0,0.06,0,0.906,3.625,0.326,0.022
