Source,Target,dich,value
1305,1358,1,1
1305,1044,1,1
1306,1692,1,1
1306,720,1,1
1306,241,1,1
1306,1601,1,1
1306,926,1,1
1306,1197,1,1
1306,1627,1,1
1314,1439,1,1
1316,1382,1,1
1316,1658,1,1
1317,1292,1,1
1317,1274,1,1
1317,1428,1,1
1317,1569,1,1
1318,1492,1,1
1322,671,1,3
1322,941,1,1
1322,557,1,1
1322,1073,1,1
1322,1575,1,1
1322,100,1,1
1322,385,1,1
1323,1540,1,1
1324,1374,1,3
1324,1323,1,1
1324,1540,1,2
1325,941,1,1
1326,1439,1,1
1330,326,1,1
1330,335,1,1
1332,1525,1,1
1332,36,1,1
1332,1428,1,1
1333,1306,1,1
1334,437,1,1
1334,915,1,1
1344,35,1,1
1347,671,1,1
1347,1181,1,1
1348,236,1,1
1358,186,1,1
1358,649,1,1
1363,1611,1,1
1363,1660,1,1
1367,2000,1,1
1367,652,1,1
1367,9,1,1
1374,82,1,3
1374,1728,1,1
1374,1272,1,1
1374,671,1,1
1374,1129,1,1
1375,115,1,2
1375,1696,1,2
1375,1376,1,3
1375,508,1,2
1375,1728,1,2
1375,1470,1,1
1375,221,1,1
1375,1306,1,1
1376,306,1,1
1376,1375,1,1
1377,915,1,2
1377,924,1,1
1377,1719,1,1
1380,730,1,3
1380,1576,1,2
1380,1699,1,1
1380,1538,1,1
1380,237,1,1
1380,473,1,1
1380,1614,1,1
1382,171,1,1
1382,543,1,1
1382,529,1,1
1382,743,1,1
1382,915,1,1
1382,762,1,1
1382,1444,1,1
1382,1677,1,1
1391,1392,1,2
1391,268,1,1
1391,568,1,1
1391,721,1,1
1391,1150,1,1
1392,1171,1,1
1392,777,1,1
1392,1150,1,1
1392,1329,1,1
1392,1001,1,1
1392,1391,1,1
1397,1568,1,1
1398,1488,1,1
1401,1629,1,1
1401,688,1,1
1402,1374,1,1
1403,1380,1,2
1403,675,1,1
1410,1102,1,1
1413,71,1,2
1413,1375,1,2
1413,791,1,1
1413,1169,1,1
1413,1626,1,1
1413,963,1,1
1413,1444,1,1
1413,938,1,1
1413,462,1,1
1414,1491,1,1
1414,118,1,1
1420,431,1,1
1420,336,1,1
1421,30,1,2
1421,428,1,1
1427,1051,1,1
1428,1274,1,5
1428,1313,1,2
1428,990,1,2
1428,941,1,1
1428,1569,1,3
1428,671,1,1
1428,1716,1,2
1428,1245,1,1
1428,1317,1,1
1428,1102,1,1
1428,1524,1,1
1428,293,1,1
1428,193,1,1
1428,111,1,1
1428,1727,1,2
1428,1525,1,1
1432,1540,1,1
1432,1520,1,1
1434,439,1,1
1434,1433,1,1
1434,603,1,1
1434,4,1,1
1434,1580,1,1
1434,1598,1,1
1438,1629,1,1
1439,1456,1,2
1439,796,1,1
1439,1580,1,1
1439,1624,1,1
1439,1179,1,1
1439,1586,1,1
1444,1686,1,3
1444,941,1,1
1444,920,1,1
1444,932,1,1
1444,1117,1,1
1444,1098,1,1
1444,1101,1,1
1450,1272,1,1
1452,1272,1,1
1452,671,1,1
1452,1347,1,1
1452,1162,1,1
1453,633,1,1
1458,1540,1,2
1458,539,1,1
1458,1721,1,1
1458,946,1,1
1458,819,1,1
1458,1584,1,1
1458,1728,1,1
1463,832,1,1
1463,140,1,1
1465,1229,1,1
1465,1658,1,1
1471,1013,1,1
1471,1064,1,1
1471,1434,1,1
1474,171,1,1
1478,1504,1,1
1481,1540,1,1
1482,1694,1,1
1482,1219,1,1
1482,1540,1,1
1482,1374,1,1
1484,1483,1,1
1484,585,1,1
1485,1532,1,1
1488,1637,1,1
1488,915,1,1
1488,1209,1,1
1488,1513,1,1
1488,896,1,1
1490,28,1,1
1491,465,1,1
1491,1580,1,1
1491,211,1,1
1491,1477,1,1
1491,1731,1,1
1492,1540,1,1
1492,1226,1,1
1499,1541,1,1
1500,1540,1,1
1502,1718,1,1
1506,20,1,1
1506,8,1,1
1510,1284,1,1
1510,833,1,1
1516,1575,1,1
1516,1527,1,1
1516,231,1,1
1516,288,1,1
1516,513,1,1
1520,1540,1,2
1520,1432,1,1
1521,777,1,2
1521,1214,1,1
1521,683,1,1
1521,1395,1,1
1521,914,1,1
1521,818,1,1
1521,1542,1,1
1521,1325,1,1
1521,1473,1,1
1521,1653,1,1
1525,1428,1,1
1526,1380,1,2
1526,156,1,2
1528,1716,1,1
1528,1428,1,1
1528,1547,1,1
1528,1446,1,1
1528,238,1,1
1528,660,1,1
1532,1696,1,3
1532,1160,1,2
1533,725,1,1
1533,92,1,1
1533,706,1,1
1536,674,1,1
1536,1003,1,1
1538,1380,1,2
1540,1541,1,1
1540,625,1,1
1540,1100,1,1
1540,1492,1,2
1540,1728,1,1
1540,1262,1,1
1540,671,1,1
1540,1568,1,1
1540,1503,1,1
1540,1374,1,1
1540,1301,1,1
1540,1226,1,1
1540,1157,1,1
1542,38,1,1
1542,777,1,2
1546,261,1,1
1546,671,1,1
1546,1596,1,1
1550,778,1,1
1550,1637,1,1
1560,1380,1,1
1567,550,1,1
1568,486,1,1
1568,438,1,1
1568,1295,1,1
1568,918,1,1
1568,550,1,1
1568,1567,1,1
1568,1397,1,1
1569,1716,1,1
1569,1265,1,1
1569,1428,1,3
1570,547,1,1
1570,163,1,1
1570,1654,1,1
1575,1601,1,3
1575,262,1,1
1575,1212,1,1
1575,507,1,1
1575,1249,1,2
1576,1380,1,1
1576,1403,1,1
1576,730,1,1
1576,548,1,1
1576,472,1,1
1577,264,1,1
1579,1536,1,1
1579,448,1,1
1580,1248,1,1
1580,916,1,1
1580,470,1,1
1582,1653,1,1
1582,1479,1,1
1582,1721,1,1
1586,929,1,1
1586,1439,1,1
1601,1718,1,1
1601,1071,1,1
1601,375,1,1
1601,957,1,1
1614,1380,1,1
1618,1229,1,1
1618,1639,1,1
1618,1683,1,1
1619,1619,1,1
1619,4,1,1
1624,1421,1,1
1624,884,1,2
1624,643,1,2
1624,1359,1,2
1637,1715,1,1
1638,1284,1,1
1639,195,1,1
1639,980,1,1
1639,166,1,1
1639,259,1,1
1639,1130,1,1
1639,1236,1,1
1639,81,1,1
1639,1536,1,1
1639,126,1,1
1639,1467,1,1
1639,86,1,1
1639,1306,1,1
1639,1003,1,1
1639,1067,1,1
1639,1637,1,1
1639,1658,1,1
1639,1465,1,1
1649,542,1,1
1653,1322,1,3
1653,1458,1,1
1653,1475,1,1
1653,585,1,3
1653,1509,1,1
1653,1473,1,1
1653,1484,1,1
1655,389,1,1
1655,915,1,1
1660,411,1,1
1665,1306,1,1
1667,8,1,1
1669,1463,1,1
1677,915,1,2
1683,1121,1,1
1684,1276,1,1
1684,682,1,1
1686,1519,1,1
1686,274,1,1
1686,1444,1,2
1686,1040,1,1
1686,1428,1,1
1686,1204,1,1
1686,1363,1,1
1686,595,1,1
1686,1073,1,2
1686,1660,1,4
1686,1392,1,1
1687,1380,1,1
1687,523,1,2
1690,1540,1,1
1696,1674,1,1
1696,1375,1,1
1696,1532,1,1
1696,673,1,1
1696,248,1,1
1696,1361,1,1
1696,1577,1,1
1698,115,1,1
1699,1533,1,1
1716,1292,1,1
1716,1373,1,1
1718,1502,1,1
1719,1009,1,1
1721,1653,1,1
1721,1521,1,2
1721,1458,1,1
1727,1428,1,1
1728,1532,1,1
1728,1696,1,1
1728,1732,1,1
1728,1733,1,1
1728,1518,1,1
1728,1735,1,2
1728,1155,1,1
1732,1735,1,1
1733,1700,1,1
1733,1735,1,1
1735,890,1,1
1735,1728,1,1
